Transaction_ID,Predicted_Fraud,Actual_Fraud,User_Confirmation,Correct_Prediction
1030686,1,1,YES,True
1030418,1,1,YES,True
911853,1,1,YES,True
10396,1,1,NO,False
992141,1,1,YES,True
759792,1,1,YES,True
1030542,1,1,YES,True
404428,1,1,YES,True
1007889,1,1,YES,True
1030400,1,1,NO,False
854216,1,1,YES,True
1030643,1,1,YES,True
1030472,1,1,YES,True
1030157,1,1,NO,False
1030635,1,1,YES,True
576324,1,1,NO,False
858024,1,1,YES,True
1030655,1,1,YES,True
1030508,1,1,NO,False
575028,1,1,YES,True
575769,1,1,YES,True
1026445,1,1,YES,True
1030499,1,1,YES,True
514339,1,0,YES,True
1030587,1,1,YES,True
1032738,1,0,YES,True
1030537,1,1,YES,True
805430,1,1,YES,True
1030388,1,1,YES,True
1030371,1,1,YES,True
1030485,1,1,YES,True
1030324,1,1,YES,True
217321,1,1,YES,True
1030401,1,1,YES,True
1030327,1,1,YES,True
995662,1,1,YES,True
1030571,1,1,YES,True
945639,1,1,NO,False
1030377,1,1,NO,False
1030667,1,1,YES,True
4776,1,1,YES,True
1030474,1,1,NO,False
626937,1,1,YES,True
1031277,1,1,YES,True
854856,1,1,YES,True
1035480,1,1,YES,True
1030274,1,1,YES,True
1030595,1,1,YES,True
553051,1,1,YES,True
1030379,1,1,YES,True
1042896,1,1,YES,True
1024462,1,0,NO,False
637980,1,0,YES,True
6702,1,1,YES,True
1030522,1,1,YES,True
1030265,1,1,NO,False
576346,1,1,YES,True
7155,1,1,YES,True
1029539,1,1,YES,True
1005246,1,1,YES,True
801933,1,1,YES,True
1030723,1,1,YES,True
1030702,1,1,NO,False
4104,1,1,YES,True
1030681,1,1,YES,True
650134,1,1,YES,True
1030335,1,1,NO,False
1030409,1,1,YES,True
1024790,1,0,YES,True
1030439,1,1,YES,True
1025518,1,1,YES,True
1007888,1,1,YES,True
3272,1,1,YES,True
1030503,1,1,YES,True
1030336,1,1,YES,True
1030444,1,1,YES,True
3271,1,1,NO,False
1030729,1,1,YES,True
1030578,1,1,YES,True
1030627,1,1,NO,False
1030757,1,1,NO,False
1030427,1,1,YES,True
575768,1,1,NO,False
1030524,1,1,YES,True
1030539,1,1,YES,True
1016743,1,1,YES,True
1030725,1,1,NO,False
620987,1,1,YES,True
998513,1,1,YES,True
1045878,1,1,YES,True
1030259,1,1,YES,True
683722,1,1,NO,False
788647,1,1,NO,False
1030404,1,1,YES,True
1030640,1,1,NO,False
56478,1,1,YES,True
1030364,1,1,NO,False
9284,1,1,YES,True
248771,1,1,YES,True
537962,1,1,YES,True
553050,1,1,NO,False
202361,1,1,YES,True
1030482,1,1,YES,True
1030684,1,1,YES,True
576342,1,1,YES,True
1030365,1,1,YES,True
4442,1,1,YES,True
1021082,1,1,NO,False
196776,1,1,YES,True
899577,1,1,YES,True
241925,1,0,YES,True
1030464,1,1,YES,True
1030597,1,1,YES,True
1030737,1,1,YES,True
1021229,1,1,YES,True
1030341,1,1,YES,True
556509,1,1,YES,True
706848,1,0,YES,True
1030412,1,1,YES,True
1030765,1,1,NO,False
1030402,1,1,YES,True
1030662,1,1,YES,True
882284,1,1,NO,False
855227,1,1,YES,True
1030743,1,1,YES,True
1030581,1,1,NO,False
7029,1,1,YES,True
1030511,1,1,YES,True
522655,1,1,YES,True
102181,1,1,NO,False
1030556,1,1,YES,True
555790,1,1,YES,True
1030421,1,1,YES,True
202362,1,1,YES,True
1030617,1,1,NO,False
318374,1,1,YES,True
562126,1,1,NO,False
151657,1,1,YES,True
1030657,1,1,YES,True
23573,1,0,YES,True
71414,1,0,YES,True
616561,1,1,YES,True
576368,1,1,YES,True
481252,1,1,YES,True
1030632,1,1,YES,True
1030576,1,1,YES,True
1030666,1,1,YES,True
574433,1,1,YES,True
1030758,1,1,NO,False
1030378,1,1,YES,True
1030376,1,1,YES,True
989825,1,0,YES,True
1030674,1,1,YES,True
722089,1,1,YES,True
410905,1,1,YES,True
576166,1,1,YES,True
1030527,1,1,YES,True
610619,1,1,YES,True
2302,1,1,YES,True
1030277,1,1,YES,True
1030549,1,1,NO,False
54084,1,0,YES,True
1030580,1,1,NO,False
576364,1,1,NO,False
1030475,1,1,YES,True
1033067,1,0,YES,True
955158,1,1,YES,True
99371,1,1,YES,True
1030322,1,1,YES,True
1030766,1,1,YES,True
1030497,1,1,YES,True
248772,1,1,YES,True
622612,1,1,YES,True
576344,1,1,YES,True
1030569,1,1,YES,True
574714,1,1,YES,True
1030392,1,1,YES,True
1030668,1,1,YES,True
1030374,1,1,YES,True
586314,1,1,YES,True
537963,1,1,YES,True
773797,1,0,YES,True
1030290,1,1,YES,True
1038086,1,0,YES,True
204215,1,1,YES,True
725132,1,1,NO,False
1030396,1,1,YES,True
12180,1,1,YES,True
1030490,1,1,YES,True
1030299,1,1,YES,True
1030301,1,1,YES,True
1030500,1,1,NO,False
1030564,1,1,YES,True
801934,1,1,NO,False
1030285,1,1,YES,True
1030465,1,1,YES,True
1032638,1,0,YES,True
1030598,1,1,YES,True
1030347,1,1,YES,True
1030724,1,1,YES,True
69086,1,0,YES,True
1013893,1,1,YES,True
1030308,1,1,YES,True
625149,1,0,YES,True
1030616,1,1,NO,False
1030572,1,1,NO,False
1030383,1,1,YES,True
4441,1,1,YES,True
1030448,1,1,YES,True
1030624,1,1,YES,True
1030510,1,1,YES,True
992140,1,1,YES,True
4443,1,1,YES,True
4261,1,1,YES,True
985997,1,1,YES,True
49825,1,1,NO,False
576027,1,1,YES,True
576160,1,1,YES,True
576341,1,1,NO,False
576351,1,1,YES,True
1030775,1,1,YES,True
1030300,1,1,NO,False
1030297,1,1,YES,True
566149,1,1,YES,True
72930,1,1,YES,True
574957,1,1,YES,True
680,1,1,YES,True
1030492,1,1,NO,False
759791,1,1,YES,True
554858,1,1,YES,True
1030610,1,1,YES,True
1030715,1,1,NO,False
1023029,1,1,YES,True
1030699,1,1,YES,True
1030438,1,1,YES,True
1030739,1,1,NO,False
610270,1,1,YES,True
1030395,1,1,YES,True
1029016,1,0,YES,True
1030461,1,1,YES,True
597896,1,1,YES,True
960909,1,1,YES,True
576369,1,1,YES,True
1030641,1,1,YES,True
1030366,1,1,NO,False
1030728,1,1,YES,True
848429,1,1,YES,True
1030575,1,1,NO,False
1030720,1,1,YES,True
1030636,1,1,YES,True
1030284,1,1,NO,False
576358,1,1,YES,True
1030275,1,1,YES,True
1030493,1,1,NO,False
1030375,1,1,YES,True
1030481,1,1,YES,True
1030446,1,1,NO,False
1033611,1,1,YES,True
1030505,1,1,YES,True
1030282,1,1,YES,True
1030530,1,1,YES,True
1030611,1,1,YES,True
1030568,1,1,YES,True
813450,1,0,YES,True
480463,1,1,NO,False
1030410,1,1,YES,True
1030293,1,1,NO,False
1025194,1,1,YES,True
1030562,1,1,YES,True
1030754,1,1,YES,True
1030329,1,1,NO,False
572195,1,1,YES,True
1030609,1,1,NO,False
805429,1,1,NO,False
576350,1,1,YES,True
1030613,1,1,YES,True
6703,1,1,YES,True
1030563,1,1,YES,True
1030550,1,1,YES,True
1030449,1,1,YES,True
1013894,1,1,NO,False
777627,1,1,YES,True
6897,1,1,YES,True
1030334,1,1,YES,True
574991,1,1,NO,False
800385,1,1,YES,True
1030330,1,1,YES,True
1030693,1,1,NO,False
1030557,1,1,NO,False
1030422,1,1,YES,True
1030591,1,1,YES,True
1030584,1,1,YES,True
222998,1,1,YES,True
1030546,1,1,YES,True
896003,1,1,YES,True
1030515,1,1,YES,True
576022,1,1,NO,False
1030367,1,1,YES,True
1015714,1,1,NO,False
1030523,1,1,YES,True
586311,1,1,YES,True
1030487,1,1,YES,True
1030588,1,1,NO,False
1030458,1,1,YES,True
1015713,1,1,YES,True
1015514,1,1,YES,True
